Id: CMSSW
Metadata: (strobe,) start of orbit, start of packet, end of packet, valid

      Link              000                    001                    002                    003        
Frame 0065    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0066    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0067    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0068    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0069    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0070    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0071    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0072    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0073    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0074    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0075    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0076    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0077    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0078    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0079    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0080    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0081    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0082    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0083    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0084    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0085    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0086    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0087    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0088    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0089    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0090    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0091    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0092    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0093    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0094    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0095    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0096    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0097    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0098    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0099    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0100    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0101    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0102    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0103    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0104    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0105    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0106    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0107    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0108    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0109    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0110    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0111    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0112    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0113    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0114    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0115    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0116    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0117    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0118    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0119    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0120    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0121    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0122    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0123    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0124    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
